Part,References,Value,Footprint,Quantity
1276-1444-1-ND,C10,1uF,C_0402_HandSoldering,1
311-1.00KLRCT-ND,R5,1K,R_0603_HandSoldering,1
311-1338-1-ND,C6 C11,100nF,C_0402_HandSoldering,2
497-17854-1-ND,U1,~,SOIC-8-LARGE-PADS,1
507-1787-1-ND,F1,~,F_1210_HandSoldering,1
587-1785-1-ND,C2 C3 C4 C5 C7 C8 C9,4.7uF,C_0603_HandSoldering,7
609-4616-1-ND,J1,~,USB_Micro_10118193-0001LF-NOPADS,1
APD240KDTR-G1DICT-ND,D1,~,D_SOD-123,1
ATSAMD21E17A-AUTCT-ND,U3,ATSAMD21E,TQFP-32_7x7mm,1
952-3577-ND,M50-3030542,CONN-1x5,CONN-050-1x5-TH,1
MCP1754T-3302E/OTCT-ND,U2,~,SOT-23-5_HandSoldering,1
NUP2114UPXV5T1GOSCT-ND,TVS1,~,SOT-553-LARGE-PADS,1
P330LCT-ND,R6 R7 R8 R9 R10,330,R_0402_HandSoldering,5
RR08P22.0KDCT-ND,R4,22K,R_0603_HandSoldering,1
RR08P62.0KDCT-ND,R2 R3,62K,R_0603_HandSoldering,2
SMA6J11AHR3GCT-ND,D2,SMA6J11A,DO214AC,1
